x	y	z
554382.593942	8708713.09912	0.0
554333.828877	8708838.52736	0.0
553906.562812	8709303.86579	0.0
553931.628698	8709297.95296	0.0
553843.04911	8709335.95081	0.0
553969.409287	8709284.48636	0.0
553615.706457	8709595.75787	0.0
554348.898291	8708890.39938	0.0
554153.723582	8709105.47782	0.0
554372.278387	8708720.38849	0.0
554401.58751	8708735.85457	0.0
553743.555337	8709437.13837	0.0
553988.943746	8709276.48736	0.0
554385.762127	8708687.84969	0.0
553670.464839	8709811.77855	0.0
554015.566922	8709265.81677	0.0
554160.050866	8709103.13838	0.0
552847.864991	8710264.60425	0.0
554167.276126	8709099.10442	0.0
553178.09185	8710133.31596	0.0
554424.751508	8708637.69458	0.0
553768.809216	8709760.47273	0.0
553319.952101	8710055.49043	0.0
553407.302207	8710045.56368	0.0
552937.146213	8710234.18662	0.0
553457.131638	8710023.76207	0.0
553448.428952	8710024.00169	0.0
553286.827115	8710077.46005	0.0
552968.190179	8710240.3889	0.0
553016.937125	8710204.05528	0.0
554344.124026	8708997.65405	0.0
553023.048578	8710198.99922	0.0
553680.517143	8709880.06614	0.0
553206.791102	8710095.34213	0.0
553365.443041	8710073.73784	0.0
554277.152176	8709022.28998	0.0
554704.896926	8708664.90622	0.0
552908.535611	8710252.79444	0.0
554145.691509	8709111.90638	0.0
553732.310509	8709850.23869	0.0
553343.270887	8710042.28613	0.0
553814.213265	8709357.49503	0.0
553321.403585	8710061.30551	0.0
553561.420567	8709854.5596	0.0
554312.1215	8709036.96307	0.0
553515.610345	8709929.30084	0.0
554535.065484	8708583.44113	0.0
553557.051638	8709926.76139	0.0
553022.424585	8710204.87488	0.0
554400.879626	8708613.13667	0.0
554158.452646	8709105.34798	0.0
553001.183243	8710210.94421	0.0
553263.971985	8710086.37598	0.0
553088.97099	8710208.6021	0.0
553095.472318	8710206.88401	0.0
553735.691937	8709857.45043	0.0
553909.079243	8709444.01298	0.0
553274.414579	8710084.04578	0.0
553403.139115	8710080.05055	0.0
553657.809998	8709861.60997	0.0
554232.022784	8709074.19539	0.0
553760.230823	8709758.48009	0.0
553963.394703	8709223.94777	0.0
553381.936185	8710021.51849	0.0
552822.422403	8710267.98379	0.0
554320.01727	8709062.66684	0.0
553228.6098	8710091.88333	0.0
554448.673657	8708584.88148	0.0
553212.631534	8710094.69484	0.0
554346.239726	8709020.99666	0.0
554058.339476	8709176.31066	0.0
552938.531504	8710240.28791	0.0
553830.158147	8709340.39354	0.0
554168.220958	8709099.27399	0.0
554323.592817	8709029.38253	0.0
553202.498752	8710095.89428	0.0
553385.570736	8710019.41774	0.0
553860.727405	8709328.74286	0.0
552806.352582	8710271.18438	0.0
552798.755968	8710271.19057	0.0
553185.207104	8710099.13485	0.0
553205.650855	8710095.40987	0.0
553358.058102	8710079.58876	0.0
553121.749835	8710150.33805	0.0
553046.98756	8710185.12116	0.0
554185.574708	8709091.49318	0.0
553058.841681	8710191.10063	0.0
553202.678973	8710097.57524	0.0
553203.871102	8710097.72667	0.0
554149.587507	8709110.03091	0.0
553204.381468	8710097.63099	0.0
553289.20321	8710089.78543	0.0
553198.857936	8710098.2338	0.0
553237.241816	8710093.27528	0.0
554567.052817	8708821.55437	0.0
553217.603001	8710092.41607	0.0
554180.584409	8709093.28373	0.0
554205.142301	8709084.97269	0.0
553041.28694	8710200.90384	0.0
553073.760597	8710188.79409	0.0
554188.488983	8709092.39414	0.0
553516.203312	8710000.45708	0.0
554388.621163	8708707.8633	0.0
