date_utm2,calving_area,calving_style,location_x,location_y
42224.61389,headland,sheet,3682.729,1519.975
42224.61736,headland,icefall,3598.965,1516.236
42224.61875,headland,icefall,3614.333,1584.821
42224.62153,headland,waterline,3628.606,1640.962
42224.625,far,waterline,4889.985,1253.114
42224.625,far,icefall,4880.903,1250.722
42224.625,far,icefall,4585.066,1286.581
42224.63472,headland,icefall,3689.231,1570.218
42224.64097,headland,icefall,3674.274,1554.512
42224.64236,headland,waterline,3665.299,1614.343
42224.64653,headland,stack,3668.29,1530.579
42224.65833,headland,waterline,2976.036,1823.167
42224.66667,plume2,waterline,4408.111,1286.759
42224.67292,plume2,waterline,4013.582,1405.334
42224.67361,far,waterline,4875.413,1255.818
42224.67639,far,icefall,4786.597,1245.786
42224.68056,headland,waterline,3429.463,1697.956
42224.68056,headland,icefall,3668.901,1518.292
42224.68056,far,waterline,4948.998,1246.386
42224.68958,plume1,icefall,1998.354,1830.59
42224.68958,headland,icefall,3668.863,1501.794
42224.69028,plume2,icefall,4012.236,1401.878
42224.69792,near,icefall,363.75,2943.36
42224.70972,plume2,icefall,4015.13,1397.767
42224.71042,plume1,icefall,909.963,2400.014
42224.7125,far,icefall,5032.778,1224.875
42224.71458,plume1,icefall,2110.283,1747.097
42224.71875,plume1,waterline,1202.671,2211.857
42224.71875,plume1,waterline,1176.21,2119.524
42224.72014,near,waterline,499.45,2778.483
42224.72083,plume1,icefall,1240.159,2065.298
42224.72708,plume1,icefall,1246.514,2073.56
42224.72917,plume1,waterline,1118.137,2254.687
42224.73194,near,waterline,437.835,2732.689
42224.73264,near,waterline,627.568,2643.385
42224.74236,plume2,icefall,4090.181,1302.593
42224.75069,near,waterline,653.639,2632.324
42224.75139,plume1,icefall,1694.664,1838.546
42224.75278,plume1,waterline,1093.849,2351.861
42224.75347,plume1,stack,1070.3,2170.065
42224.75417,plume2,waterline,4105.747,1335.488
42224.75972,far,icefall,4560.629,1124.911
42224.76181,near,icefall,399.762,2833.793
42224.76458,plume2,icefall,4003.993,1410.211
42224.76528,plume1,icefall,1773.186,1792.788
42224.77014,plume1,icefall,1249.085,2183.188
42224.77083,headland,icefall,3628.053,1636.383
42224.77847,plume1,waterline,1171.571,2212.071
42224.77986,plume1,waterline,1926.367,1927.988
42224.78889,plume2,waterline,4012.453,1321.794
42224.78889,plume1,icefall,1633.045,1986.387
42224.79653,far,icefall,5018.536,1176.699
42224.83611,plume1,waterline,1604.509,1949.888
42224.83611,near,icefall,618.376,2635.756
42224.84792,far,waterline,5139.305,1231.401
42224.85208,plume2,icefall,4007.314,1402.992
42224.87431,near,waterline,597.463,2669.484
42224.87431,plume1,icefall,1091.213,2282.947
42224.87847,near,waterline,547.242,2544.008
42224.87847,near,icefall,552.775,2534.523
42224.89583,plume1,sheet,1739.496,1791.921
42224.89861,plume2,icefall,3174.958,1593.697
42224.90347,plume1,waterline,1094.417,2270.539
42224.90417,plume1,stack,1008.011,2133.827
42224.90417,plume1,icefall,1796.514,1851.847
42224.90486,plume2,icefall,4004.803,1363.355
42224.90556,headland,waterline,2127.427,1752.753
42224.90556,headland,subaqueous,3889.328,1523.788
42224.90764,plume1,waterline,1318.106,2137.506
42224.90764,near,icefall,358.733,2990.733
42224.91458,headland,sheet,3922.247,1321.693
42224.91528,plume1,icefall,1093.107,2325.086
42224.92083,far,waterline,5144.806,1209.427
42224.92222,plume1,waterline,1092.122,2344.791
42224.92708,plume2,icefall,4015.934,1304.684
42224.92847,headland,waterline,3914.737,1464.526
42224.92986,near,waterline,459.429,2779.143
42224.93056,headland,waterline,3667.974,1623.146
42224.93333,plume2,waterline,4013.243,1397.328
42224.93889,plume2,icefall,4020.466,1315.713
42224.93958,plume1,icefall,1094.705,2357.185
42224.94444,plume1,icefall,1325.158,2133.293
42224.94792,headland,waterline,3665.76,1602.158
42224.95764,near,waterline,348.232,3021.875
42224.95764,near,waterline,353.627,3036.013
42224.95764,plume1,waterline,1092.666,2378.992
42224.95764,plume1,icefall,1094.506,2353.241
42224.95764,plume1,stack,1046.684,2179.427
42224.95833,plume1,waterline,860.914,2477.395
42224.95833,plume1,waterline,718.367,2592.351
42224.95972,plume2,waterline,4014.009,1387.801
42224.97014,near,waterline,673.446,2578.213
42224.97431,plume1,waterline,1085.39,2357.529
42224.97708,plume1,waterline,1083.494,2356.196
42224.98264,plume2,waterline,4004.602,1408.024
42224.98403,plume1,waterline,1083.556,2355.563
42224.98403,plume1,icefall,1051.517,2256.072
42224.98542,plume1,waterline,1085.242,2362.308
42224.98611,plume1,stack,1077.935,2315.654
42224.98681,plume2,icefall,4310.417,1191.273
42224.98681,plume1,subaqueous,1100.057,2338.102
42224.98681,plume2,icefall,4015.225,1390.471
42224.9875,plume2,icefall,4007.646,1377.54
42224.98819,near,icefall,628.148,2606.999
42224.98819,near,icefall,675.564,2556.686
42224.98889,plume2,icefall,4007.036,1386.541
42224.99028,plume1,icefall,1300.43,2004.678
42224.99306,far,waterline,4886.921,1247.646
