x	y	z
554100.49924307	8709132.66654386	0.0
554091.2629866559	8709136.977086635	0.0
554080.6086147974	8709141.519054845	0.0
554132.8872630385	8709114.879255148	0.0
554123.4911646001	8709119.585013548	0.0
554099.000531127	8709132.698958348	0.0
553821.3722735415	8709340.658076445	0.0
553026.9407198401	8710191.848260015	0.0
554107.199591239	8709129.410437679	0.0
554146.9374687305	8709108.39031996	0.0
554111.852893088	8709127.391271753	0.0
553857.2214782541	8709324.682779728	0.0
554145.4118959416	8709109.32384445	0.0
554143.7526540167	8709109.774988338	0.0
554113.2063233485	8709126.004130393	0.0
554147.0711378664	8709108.87270056	0.0
554082.8054842944	8709140.520788623	0.0
552813.5037308086	8710268.841120142	0.0
554109.9190221778	8709127.789169442	0.0
554108.5165244306	8709129.2262548	0.0
553114.9424839837	8710148.83154839	0.0
554519.6969947884	8708938.108961716	0.0
554099.8086643151	8709133.478737334	0.0
554583.5006650813	8708915.15790011	0.0
554090.0896174675	8709137.453075852	0.0
554149.3639610368	8709107.36469717	0.0
553752.169921486	8709481.92589199	0.0
554089.6627955844	8709136.996752676	0.0
554144.1712940143	8709109.828983897	0.0
554156.4457568035	8709107.005635628	0.0
553830.3941732249	8709338.359390939	0.0
554092.1916034778	8709135.72860269	0.0
554040.5721768267	8709183.500365008	0.0
553042.2499084229	8710185.149458913	0.0
553125.2687068188	8710144.597427025	0.0
553548.5115772524	8709682.387452025	0.0
552906.6396362053	8710256.995923873	0.0
554223.448247689	8709068.096880417	0.0
554130.2401268883	8709117.61711403	0.0
554549.9498145693	8708913.942093194	0.0
554131.0710714359	8709115.213942558	0.0
554072.9646117872	8709149.616746835	0.0
553853.8792102521	8709325.808496114	0.0
554245.2711809678	8709058.355077198	0.0
553208.5068745947	8710094.98455091	0.0
553063.8383708464	8710207.924431793	0.0
553607.9160296834	8709605.20830543	0.0
554055.1081186258	8709169.86454635	0.0
553015.6313836334	8710200.869836176	0.0
553016.894595057	8710200.117244838	0.0
554175.8547318666	8709116.806011632	0.0
554146.041844911	8709108.042644083	0.0
554016.7089641149	8709287.274667982	0.0
553837.6074376857	8709336.377236279	0.0
554055.3115864769	8709174.245448723	0.0
554303.3918327368	8708991.153340355	0.0
553922.614925757	8709295.608329061	0.0
553617.6192088182	8709588.106569296	0.0
553371.7463850018	8710023.322662998	0.0
553176.3028573777	8710100.847137755	0.0
554137.6585369764	8709112.757632926	0.0
553777.4076315594	8709765.072113989	0.0
552988.7722920855	8710213.508859655	0.0
553009.0637293997	8710197.848698277	0.0
553262.3722361628	8710078.991452277	0.0
553444.1382780658	8710059.719573366	0.0
553377.1236105618	8710078.965568345	0.0
553218.5948460676	8710093.607401287	0.0
553346.0096593519	8710066.251266323	0.0
553196.2974787969	8710097.162843954	0.0
554137.7592760787	8709113.071760714	0.0
553297.8095637123	8710070.802139448	0.0
553460.7765759167	8710049.348917691	0.0
553591.5044732154	8709828.082955465	0.0
553585.5218728574	8709807.939598162	0.0
553850.4163683652	8709332.98527063	0.0
553883.8391741232	8709318.78003062	0.0
554295.8642832973	8709007.787844628	0.0
