,x,y,z
76,500165.32391436165,8724261.83127812,330.27969435521766
77,500165.52228282444,8724262.03245691,330.19307681532246
78,500165.6883207233,8724262.198190473,330.1059913240972
79,500165.78495302564,8724262.287697686,330.01725809992024
80,500165.8565391493,8724262.349700177,329.9279608445777
81,500165.9274746845,8724262.41099207,329.8387547990941
82,500166.0812131421,8724262.563380267,329.7522916992739
83,500166.1747825146,8724262.649634345,329.6641521308935
84,500166.3783588203,8724262.856909316,329.5798902043074
85,500166.5094485468,8724262.984552642,329.4935085492203
86,500166.6113874096,8724263.080140311,329.40630953000834
87,500166.7675431749,8724263.235428376,329.3213453762915
88,500166.9365622423,8724263.404932529,329.2371441637515
89,500167.0495503684,8724263.512812674,329.1510876498115
90,500167.11064440955,8724263.56358245,329.0631041940421
91,500167.2154701443,8724263.662534164,328.97703183216163
92,500167.38184627774,8724263.829320036,328.89383169479834
93,500167.53792363266,8724263.984837003,328.8104731852168
94,500167.7464117456,8724264.198165843,328.72982893173355
95,500167.92744760314,8724264.381299946,328.6483294891373
96,500168.15058980364,8724264.610933686,328.5692151094388
97,500168.27906873997,8724264.736261155,328.48594280319855
98,500168.37829223764,8724264.82937302,328.40141377452306
99,500168.49804894725,8724264.945160653,328.3181322411493
100,500168.65755656146,8724265.104841989,328.23715144369635
101,500168.89469276834,8724265.350267388,328.1606587201327
102,500169.1068372401,8724265.568185635,328.0832862977896
103,500169.41425242886,8724265.891357435,328.0116921561041
104,500169.6675869983,8724266.15491889,327.9376631126908
105,500171.25332150015,8724267.890265314,327.9420303550492
106,500170.6433590398,8724267.200594127,327.8191122782488
107,500170.67890688695,8724267.223866507,327.73392242829766
108,500172.8742725827,8724269.634039136,327.7824688478656
109,500172.18644895987,8724268.858394327,327.6544457256964
110,500173.96776845516,8724270.81181816,327.68329948874805
111,500174.66502019233,8724271.567619987,327.64510266606584
112,500175.34858044784,8724272.308501665,327.60771307136315
113,500175.7918200036,8724272.783777382,327.5556697938075
114,500176.3617686097,8724273.399621893,327.5133749482142
115,500176.7096656154,8724273.769670758,327.4567039288462
116,500177.43708949146,8724274.56004014,327.42789411650614
117,500177.7158564138,8724274.85404931,327.36826306831597
118,500177.8778614806,8724275.018921183,327.3006667656847
119,500178.34165654634,8724275.518138414,327.2560033803045
120,500178.32327178353,8724275.483374294,327.17560091954937
