,key_0,choice,path,maxsum,lineloc,lineadjust,ING Stage DCP-raw,stage_filtered
27,6/25/2020 3:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_030000.jpg,281,365,345,0.23,0.295833333
28,6/25/2020 6:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_060000.jpg,295,335,325,,0.36
29,6/25/2020 9:00,1,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_090000.jpg,319,319,319,0.36,0.346666667
30,6/25/2020 12:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_120000.jpg,296,336,326,0.32,0.28
31,6/25/2020 15:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_150000.jpg,296,336,326,0.23,0.208181818
32,6/25/2020 18:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_180000.jpg,293,333,323,0.19,0.222727273
33,6/25/2020 21:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200625_210000.jpg,652,355,335,0.3,0.42
34,6/26/2020 0:00,,,,,,0.59,0.7
35,6/26/2020 3:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200626_030000.jpg,281,321,311,,0.78
36,6/26/2020 6:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200626_060000.jpg,283,323,313,,0.713
